node,prob
x01,1.000
x03,0.845
x06,0.694
x10,0.549
x15,0.410
x21,0.274
x28,0.143
x02,0.155
x04,0.141
x05,0.151
x07,0.127
x08,0.135
x09,0.146
x11,0.113
x12,0.119
x13,0.127
x14,0.139
x16,0.098
x17,0.102
x18,0.108
x19,0.116
x20,0.137
x22,0.081
x23,0.083
x24,0.087
x25,0.093
x26,0.106
x27,0.131
x29,0.068
x30,0.069
x31,0.072
x32,0.074
x33,0.083
x34,0.099
x35,0.040
x36,0.057
